name,category,price,billed_per,notes
Blues Clues Banner Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Banner Bouncers. Supplier item ID 956397. https://innovativeinflatables.com/all-categories/banner-bouncers/blues-clues-banner/
Disney Princess Banner,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Banner Bouncers. Supplier item ID 956399. https://innovativeinflatables.com/all-categories/banner-bouncers/disney-princess-banner/
Incredibles Banner,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Banner Bouncers. Supplier item ID 956401. https://innovativeinflatables.com/all-categories/banner-bouncers/incredibles-banner/
Sponge Bob Banner,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Banner Bouncers. Supplier item ID 956403. https://innovativeinflatables.com/all-categories/banner-bouncers/sponge-bob-banner/
Strawberry Shortcake Banner,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Banner Bouncers. Supplier item ID 956405. https://innovativeinflatables.com/all-categories/banner-bouncers/strawberry-shortcake-banner/
Superman Banner,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Banner Bouncers. Supplier item ID 956407. https://innovativeinflatables.com/all-categories/banner-bouncers/superman-banner/
Treasure Island Banner,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Banner Bouncers. Supplier item ID 956411. https://innovativeinflatables.com/all-categories/banner-bouncers/treasure-island-banner/
America Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956705. https://innovativeinflatables.com/all-categories/bouncers/america/
Birthday Cake Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956333. https://innovativeinflatables.com/all-categories/bouncers/birthday-cake/
Boxing/Wrestling Ring Only,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956335. https://innovativeinflatables.com/all-categories/bouncers/boxing-wrestling-ring-only/
Cars,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956337. https://innovativeinflatables.com/all-categories/bouncers/cars/
Circus Banner Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956707. https://innovativeinflatables.com/all-categories/bouncers/circus-banner-bouncer/
Color Castle (large),Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956341. https://innovativeinflatables.com/all-categories/bouncers/color-castle-large/
Dalmatian,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956349. https://innovativeinflatables.com/all-categories/bouncers/dalmatian/
Dinosaur,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956555. https://innovativeinflatables.com/all-categories/bouncers/dinosaur/
Disney Princess Club,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956351. https://innovativeinflatables.com/all-categories/bouncers/disney-princess-club/
Dora the Explorer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956353. https://innovativeinflatables.com/all-categories/bouncers/dora-the-explorer/
Emoji Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 1666871. https://innovativeinflatables.com/all-categories/bouncers/emoji-bouncer/
Finding Nemo,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956355. https://innovativeinflatables.com/all-categories/bouncers/finding-nemo/
Frozen Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956679. https://innovativeinflatables.com/all-categories/bouncers/frozen/
Glittertastic Castle Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956345. https://innovativeinflatables.com/all-categories/bouncers/glittertastic-castle/
Go Diego Go Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956593. https://innovativeinflatables.com/all-categories/bouncers/go-diego-go/
Indoor Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 3155075. https://innovativeinflatables.com/all-categories/bouncers/indoor-bouncer/
Justice League,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956667. https://innovativeinflatables.com/all-categories/bouncers/justice-league/
Mega Color Castle,Inflatables,325,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956343. https://innovativeinflatables.com/all-categories/bouncers/mega-color-castle/
Military Extra Large,Inflatables,300,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956481. https://innovativeinflatables.com/all-categories/bouncers/military-extra-large/
Minnie Mouse Bow-Tique Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956709. https://innovativeinflatables.com/all-categories/bouncers/minnie-mouse-bow-tique/
Modular Jump,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956367. https://innovativeinflatables.com/all-categories/bouncers/modular-jump/
Monster Truck,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956369. https://innovativeinflatables.com/all-categories/bouncers/monster-truck/
Shopkins Banner Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956723. https://innovativeinflatables.com/all-categories/bouncers/shopkins-banner-bouncer/
Sports Club,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956391. https://innovativeinflatables.com/all-categories/bouncers/sports-club/
The Little Mermaid Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956719. https://innovativeinflatables.com/all-categories/bouncers/the-little-mermaid/
Toy Story 3 Bouncer,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956637. https://innovativeinflatables.com/all-categories/bouncers/toy-story-3/
Trolls Mod Jump,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956741. https://innovativeinflatables.com/all-categories/bouncers/trolls-mod-jump/
Wizard Castle,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956395. https://innovativeinflatables.com/all-categories/bouncers/wizard-castle/
Zombie,Inflatables,200,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Bouncers. Supplier item ID 956441. https://innovativeinflatables.com/all-categories/bouncers/zombie/
180 Degree Slide,Inflatables,650,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 956599. https://innovativeinflatables.com/all-categories/slides/180-degree-slide/
Big Kahuna Slide,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 956517. https://innovativeinflatables.com/all-categories/slides/big-kahuna/
Catch the Wave Slide,Inflatables,475,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1360875. https://innovativeinflatables.com/all-categories/slides/catch-the-wave-slide/
Cliffhanger,Inflatables,600,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1297107. https://innovativeinflatables.com/all-categories/slides/cliffhanger/
Drop the Mic Slide!,Inflatables,400,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 3240719. https://innovativeinflatables.com/all-categories/slides/drop-the-mic-slide/
Dual Lane Dry Slide,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 956675. https://innovativeinflatables.com/all-categories/slides/dual-lane-dry-slide/
Dual Lane Purple Hurricane Madness Slide,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1548319. https://innovativeinflatables.com/all-categories/slides/dual-lane-purple-hurricane-madness/
Dual Lane Slip and Dip with Pool,Inflatables,400,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1191681. https://innovativeinflatables.com/all-categories/slides/dual-lane-slip-and-dip-with-pool/
Fire and Ice Slide,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 956585. https://innovativeinflatables.com/all-categories/slides/fire-and-ice/
Firecracker Slide,Inflatables,450,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1018841. https://innovativeinflatables.com/all-categories/slides/firecracker-slide/
Giant Slide,Inflatables,400,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 956521. https://innovativeinflatables.com/all-categories/slides/giant-slide/
Jaws Slide,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1360887. https://innovativeinflatables.com/all-categories/slides/jaws-slide/
Lava Surge Single Lane Water Slide w/Pool,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1548311. https://innovativeinflatables.com/all-categories/slides/lava-surge-single-lane-water-slide-w-pool/
Maui Splash Water Slide,Inflatables,375,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 956791. https://innovativeinflatables.com/all-categories/slides/maui-splash-waterslide/
Pirate Slide,Inflatables,375,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 956657. https://innovativeinflatables.com/all-categories/slides/pirate-slide/
Rainbow Combo,Inflatables,375,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 956653. https://innovativeinflatables.com/all-categories/slides/rainbow-combo/
Rampage Slide,Inflatables,600,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1360879. https://innovativeinflatables.com/all-categories/slides/rampage-slide/
Rip Curl Slide,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 956607. https://innovativeinflatables.com/all-categories/slides/ripcurl/
Rockin Rapids Slide,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 956669. https://innovativeinflatables.com/all-categories/slides/rockin-rapids/
Slip N Slide,Inflatables,275,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 956523. https://innovativeinflatables.com/all-categories/slides/slip-n-slide/
The Volcano Slide,Inflatables,600,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1360871. https://innovativeinflatables.com/all-categories/slides/the-volcano-slide/
Tidal Wave,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1021577. https://innovativeinflatables.com/all-categories/slides/tidal-wave/
Tiki Island,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 3463687. https://innovativeinflatables.com/all-categories/slides/tiki-island/
Tiki Plunge Dual lane w/Pool,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1548313. https://innovativeinflatables.com/all-categories/slides/tiki-plunge-dual-lane-w-pool/
Tropical Combo,Inflatables,375,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 956651. https://innovativeinflatables.com/all-categories/slides/tropical-combo/
Tropical Dual Slide N Splash,Inflatables,400,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1013095. https://innovativeinflatables.com/all-categories/slides/tropical-dual-slide-n-splash/
Tropical Hurricane,Inflatables,500,"per day (supplier starting price, PARTNER sourced, review before publishing)",Supplier category: Slides. Supplier item ID 1297111. https://innovativeinflatables.com/all-categories/slides/tropical-hurricane/
